
A Plague Tale Requiem | 47.9 Gb
ASTRO BOT | 48.3 Gb
Alex Kidd in Miracle World DX | 0.4 Gb
Avatar Frontiers of Pandora | 94.8 Gb
Black Myth Wukong | 95.1 Gb
Borderlands 4 | 50.5 Gb
Clair Obscur Expedition 33 | 41.3 Gb
Control | 27.3 Gb
Crezy Chicken Shooter | 0.1 Gb
Crimson Desert 01 000 151 | 88.7 Gb
CronosThe New Dawn | 20.4 Gb
Dead Cells | 1.9 Gb
Dead Island 2 Ultimate Edition | 74.2 Gb
Demon Slayer Kimetsu No Yaiba | 4.0 Gb
Dragons Dogma 2 | 62.5 Gb
EA SPORTS FC 26 | 75.1 Gb
Furi | 2.1 Gb
Ghost of Yotei | 95.9 Gb
God of War Ragnarok | 100.3 Gb
Grand Theft Auto V | 87.3 Gb
Hello Neighbor 2 | 5.6 Gb
Hogwarts Legacy | 90.0 Gb
Kingdom Come Deliverance II | 108.7 Gb
LEGO Horizon Adventures | 14.2 Gb
Lies of P | 34.9 Gb
Looney Tunes Wacky World of Sports | 3.4 Gb
Mafia the Old Country | 40.2 Gb
Metal Gear Solid Delta Snake Eater | 92.9 Gb
Minecraft | 2.7 Gb
Mlb the Show 26 | 100.8 Gb
Mortal Kombat 1 | 126.7 Gb
Need for Speed Unbon | 30.3 Gb
Nickelodeon Kart Racers 3 | 22.3 Gb
Outer Wilds | 4.9 Gb
PAW Patrol Grand Prix Falta | 2.0 Gb
Pneumata | 19.7 Gb
Pragmata | 35.9 Gb
Prince of Persia the Lost Crown | 24.0 Gb
REANIMAL | 12.1 Gb
RESIDENT EVIL Requiem | 77.5 Gb
Ratchet and Clank Rift Apart | 35.7 Gb
Red Dead Redemption | 9.0 Gb
Resident Evil 3 Remake | 21.5 Gb
Resident Evil 7 | 31.2 Gb
Returnal | 69.2 Gb
SAROS | 82.5 Gb
Sifu | 7.6 Gb
Silent Hill 2 | 53.3 Gb
Split Fiction 01 500 | 80.5 Gb
TEKKEN 8 | 93.2 Gb
Teardown | 3.5 Gb
The Elder Scrolls IV Oblivion Remastered | 119.5 Gb
The Last of Us Part I | 76.4 Gb
The Last of Us Parte II Remastered | 90.3 Gb
UFC 5 | 35.7 Gb
Uncharted Legacy of Thieves Collection | 86.9 Gb
Forspoken | 93.9 Gb
Hell Is Us | 22.9 Gb
Little Nightmares 3 | 16.3 Gb
Monster Hunter Wilds | 66.5 Gb
NBA 2K26 | 116.5 Gb
No Mans Sky | 24.2 Gb
Silent Hill F | 37.6 Gb
Sonic Racing CrossWorlds | 13.0 Gb
Star Wars Outlaws | 66.8 Gb
ALAN WAKE 2 | 86.6 Gb
Aliens Fireteam Elite | 14.0 Gb
Assassin s Creed Shadows | 141.6 Gb
Assassins Creed Mirage | 29.7 Gb
Assassins Creed Valhalla | 83.3 Gb
Assetto Corsa Competizione | 12.0 Gb
Baldurs Gate 3 | 194.1 Gb
Crisis Core Final Fantasy VII Reunion | 21.7 Gb
Days Gone Remastered | 47.1 Gb
Death Stranding 2 on the Beach Falta | 87.5 Gb
Destruction AllStars | 27.0 Gb
Dragon Ball Z Kakarot | 35.9 Gb
Dying Light 2 Stay Human Falta | 49.8 Gb
Evil Dead the Game | 5.2 Gb
Far Cry 6 | 38.9 Gb
Final Fantasy Origin | 71.2 Gb
Ghostbusters | 10.0 Gb
God Fall | 22.8 Gb
HADES Falta | 7.5 Gb
Immortals Fenyx Rising | 21.3 Gb
Inertial Drift | 2.0 Gb
It Takes Two | 40.5 Gb
Jurassic World Evolution 3 Falta | 15.2 Gb
Marvel Avengers | 65.6 Gb
Marvel Spidermasn Miles Morales | 39.8 Gb
PAC Man World Re PAC Falta | 4.0 Gb
Star Wars Jedi Survivor | 65.4 Gb
Teenage Mutant Ninja Turtles the Cowabunga Collection | 7.6 Gb
The Witcher 3 Wild Hunt | 118.3 Gb
WWE 2K22 | 43.9 Gb
